TestId,Category,Passed,PassedRuns,TotalRuns,AvgEmbeddingScore,AvgJudgeScore,Prompt,ExpectedOutput
"factual_009","factual",True,3,3,0.67,10.0,"What is the smallest country in the world?","Vatican City"
"factual_010","factual",True,3,3,0.43,10.0,"What is the largest country by land area?","Russia"
"factual_011","factual",True,3,3,0.62,10.0,"What is the capital of Brazil?","Brasilia"
"factual_012","factual",True,3,3,0.57,10.0,"Which planet is closest to the Sun?","Mercury"
"factual_013","factual",True,3,3,0.47,10.0,"What is the most spoken language in the world?","Mandarin Chinese"
"factual_014","factual",False,1,3,0.52,4.3,"What is the largest desert in the world?","The Sahara Desert"
"factual_015","factual",True,3,3,0.26,10.0,"How many sides does a hexagon have?","6"
"factual_016","factual",True,3,3,0.31,10.0,"What is the chemical symbol for gold?","Au"
"factual_017","factual",True,3,3,0.59,10.0,"What is the chemical symbol for water?","H2O"
"factual_018","factual",True,3,3,0.57,10.0,"What is the capital of Canada?","Ottawa"
"factual_019","factual",True,3,3,0.62,10.0,"Which is the largest planet in our solar system?","Jupiter"
"factual_020","factual",True,3,3,0.18,10.0,"How many hours are in a day?","24"
"math_001","math",True,3,3,0.43,10.0,"What is 2 + 2?","4"
"math_002","math",True,3,3,0.37,10.0,"What is 15% of 200?","30"
"math_003","math",True,3,3,0.28,10.0,"What is the square root of 144?","12"
"math_004","math",True,3,3,1.00,10.0,"What is 7 multiplied by 8?","56"
"math_005","math",True,3,3,0.62,10.0,"What is 100 divided by 4?","25"
"math_006","math",True,3,3,0.58,10.0,"What is 2 to the power of 10?","1024"
"math_007","math",True,3,3,0.71,10.0,"What is the value of pi rounded to 2 decimal places?","3.14"
"math_008","math",True,3,3,0.41,10.0,"What is 50% of 80?","40"
"math_009","math",True,3,3,0.37,10.0,"What is 9 squared?","81"
"math_010","math",True,3,3,0.28,10.0,"How many degrees are in a right angle?","90"
"math_011","math",True,3,3,0.82,10.0,"What is 1000 minus 357?","643"
"math_012","math",True,3,3,0.37,10.0,"What is 12 factorial divided by 10 factorial?","132"
"math_013","math",True,3,3,0.25,10.0,"What is the area of a circle with radius 5? Use pi = 3.14","78.5"
"math_014","math",True,3,3,0.58,10.0,"What is 3/4 as a decimal?","0.75"
"math_015","math",True,3,3,0.22,10.0,"How many degrees are in a triangle?","180"
"math_016","math",True,3,3,0.56,10.0,"What is the next prime number after 7?","11"
"math_017","math",True,3,3,0.40,10.0,"What is 25% of 400?","100"
"math_018","math",True,3,3,0.29,10.0,"What is the square root of 256?","16"
"math_019","math",True,3,3,1.00,10.0,"What is 6 times 7 minus 10?","32"
"math_020","math",True,3,3,0.33,10.0,"How many seconds are in one hour?","3600"
"reasoning_001","reasoning",True,3,3,0.47,10.0,"If all dogs are animals, and Max is a dog, what is Max?","An animal"
"reasoning_002","reasoning",True,3,3,0.39,10.0,"A bat and a ball cost $1.10 in total. The bat costs $1.00 more than the ball. How much does the ball cost?","5 cents"
"reasoning_003","reasoning",True,3,3,0.53,10.0,"If it takes 5 machines 5 minutes to make 5 widgets, how long does it take 100 machines to make 100 widgets?","5 minutes"
"reasoning_004","reasoning",True,2,3,0.33,6.7,"All roses are flowers. Some flowers fade quickly. Can we conclude that some roses fade quickly?","No, we cannot conclude that"
"reasoning_005","reasoning",True,3,3,0.35,10.0,"A farmer has 17 sheep. All but 9 die. How many sheep are left?","9"
"reasoning_006","reasoning",True,3,3,0.83,10.0,"If you have a 3-litre jug and a 5-litre jug, how can you measure exactly 4 litres?","Fill the 5-litre jug, pour into the 3-litre jug until full, leaving 2 litres in the 5-litre jug. Empty the 3-litre jug. Pour the 2 litres into the 3-litre jug. Fill the 5-litre jug again and pour 1 litre into the 3-litre jug, leaving exactly 4 litres."
"reasoning_007","reasoning",True,3,3,0.46,10.0,"What comes next in the sequence: 2, 4, 8, 16, ?","32"
"reasoning_008","reasoning",True,3,3,0.36,10.0,"What comes next in the sequence: 1, 1, 2, 3, 5, 8, ?","13"
"reasoning_009","reasoning",True,3,3,0.63,10.0,"If today is Wednesday, what day will it be in 10 days?","Saturday"
"reasoning_010","reasoning",True,3,3,0.69,10.0,"You have two coins that add up to 30 cents. One is not a nickel. What are the two coins?","A quarter and a nickel"
"reasoning_011","reasoning",True,3,3,0.54,10.0,"If you overtake the person in second place in a race, what position are you in?","Second place"
"reasoning_012","reasoning",True,3,3,0.78,10.0,"A rooster lays an egg on the peak of a roof. Which way does it roll?","Roosters do not lay eggs"
"reasoning_013","reasoning",True,3,3,0.37,10.0,"What comes next in the sequence: 3, 6, 9, 12, ?","15"
"reasoning_014","reasoning",True,3,3,0.67,9.7,"Some cats are black. All black things absorb heat. Do some cats absorb heat?","Yes, some cats absorb heat"
"reasoning_015","reasoning",True,3,3,0.62,10.0,"If all bloops are razzles, and all razzles are lazzles, are all bloops lazzles?","Yes, all bloops are lazzles"
"reasoning_016","reasoning",True,3,3,0.72,10.0,"A man walks into a bar and asks for a glass of water. The bartender pulls out a gun and points it at him. The man says thank you and leaves. Why?","The man had hiccups and the scare from the gun cured them, so he no longer needed the water"
"reasoning_017","reasoning",True,3,3,0.39,10.0,"What comes next in the sequence: 1, 4, 9, 16, 25, ?","36"
"reasoning_018","reasoning",True,3,3,0.34,10.0,"If you have a box with 6 apples and you take away 4, how many apples do you have?","4"
"reasoning_019","reasoning",True,3,3,0.74,10.0,"No fish are mammals. All salmon are fish. Are any salmon mammals?","No, no salmon are mammals"
"reasoning_020","reasoning",True,3,3,0.54,10.0,"What is always coming but never arrives?","Tomorrow"
"science_001","science",True,3,3,0.62,10.0,"What is the speed of light in a vacuum?","approximately 299,792,458 metres per second"
"science_002","science",True,3,3,0.70,10.0,"What is Newton's first law of motion?","An object at rest stays at rest, and an object in motion stays in motion, unless acted upon by an external force"
"science_003","science",True,3,3,0.32,10.0,"What is the atomic number of carbon?","6"
"science_004","science",True,3,3,0.48,10.0,"What gas do plants absorb during photosynthesis?","Carbon dioxide"
"science_005","science",True,3,3,0.68,10.0,"What is the powerhouse of the cell?","The mitochondria"
"science_006","science",True,3,3,0.59,10.0,"What is the chemical formula for table salt?","NaCl"
"science_007","science",True,3,3,0.23,10.0,"How many bones are in the adult human body?","206"
"science_008","science",True,3,3,0.64,10.0,"What planet is known as the Red Planet?","Mars"
"science_009","science",True,3,3,0.54,10.0,"What is the most abundant gas in Earth's atmosphere?","Nitrogen"
"science_010","science",True,3,3,0.48,10.0,"What force keeps planets in orbit around the Sun?","Gravity"
"science_011","science",True,3,3,0.19,10.0,"What is the pH of pure water?","7"
"science_012","science",True,3,3,0.52,10.0,"What type of energy does the Sun primarily produce?","Nuclear energy through fusion"
"science_013","science",False,1,3,0.52,6.7,"What is the smallest unit of matter?","An atom"
"science_014","science",True,3,3,0.64,10.0,"What organ pumps blood through the human body?","The heart"
"science_015","science",True,3,3,0.57,10.0,"What is the process by which liquid water turns into water vapour?","Evaporation"
"science_016","science",True,3,3,0.70,10.0,"What are the three states of matter?","Solid, liquid, and gas"
"science_017","science",True,3,3,0.58,10.0,"What is the name of the layer of gases surrounding the Earth?","The atmosphere"
"science_018","science",True,3,3,0.59,10.0,"Which vitamin is produced when human skin is exposed to sunlight?","Vitamin D"
"science_019","science",True,3,3,0.64,10.0,"What is the name of the force that opposes motion between two surfaces in contact?","Friction"
"science_020","science",True,3,3,0.30,10.0,"How many chromosomes do humans normally have?","46"
